"","President","File","Term","Party","Date","Words","Win","type","links","urls","sentences","word.count","sent.id"
"1","George W. Bush","GeorgeWBush",1,"Republican","36911","1592","Yes","inaug","January 20, 2001","http://www.presidency.ucsb.edu/ws/index.php?pid=25853","Thank you, all.",3,1
"2","George W. Bush","GeorgeWBush",1,"Republican","36911","1592","Yes","inaug","January 20, 2001","http://www.presidency.ucsb.edu/ws/index.php?pid=25853","Chief Justice Rehnquist, President Carter, President Bush, President Clinton, distinguished guests, and my fellow citizens.",15,2
"3","George W. Bush","GeorgeWBush",1,"Republican","36911","1592","Yes","inaug","January 20, 2001","http://www.presidency.ucsb.edu/ws/index.php?pid=25853","The peaceful transfer of authority is rare in history, yet common in our country.",14,3
"4","George W. Bush","GeorgeWBush",1,"Republican","36911","1592","Yes","inaug","January 20, 2001","http://www.presidency.ucsb.edu/ws/index.php?pid=25853","With a simple oath, we affirm old traditions and make new beginnings.",12,4
"5","George W. Bush","GeorgeWBush",1,"Republican","36911","1592","Yes","inaug","January 20, 2001","http://www.presidency.ucsb.edu/ws/index.php?pid=25853","As I begin, I thank President Clinton for his service to our Nation, and I thank Vice President Gore for a contest conducted with spirit and ended with grace.",29,5
"6","George W. Bush","GeorgeWBush",1,"Republican","36911","1592","Yes","inaug","January 20, 2001","http://www.presidency.ucsb.edu/ws/index.php?pid=25853","I am honored and humbled to stand here where so many of America's leaders have come before me, and so many will follow.",23,6
"7","George W. Bush","GeorgeWBush",1,"Republican","36911","1592","Yes","inaug","January 20, 2001","http://www.presidency.ucsb.edu/ws/index.php?pid=25853","We have a place, all of us, in a long story, a story we continue but whose end we will not see.",22,7
"8","George W. Bush","GeorgeWBush",1,"Republican","36911","1592","Yes","inaug","January 20, 2001","http://www.presidency.ucsb.edu/ws/index.php?pid=25853","It is a story of a new world that became a friend and liberator of the old, the story of a slaveholding society that became a servant of freedom, the story of a power that went into the world to protect but not possess, to defend but not to conquer.",50,8
"9","George W. Bush","GeorgeWBush",1,"Republican","36911","1592","Yes","inaug","January 20, 2001","http://www.presidency.ucsb.edu/ws/index.php?pid=25853","It is the American story, a story of flawed and fallible people united across the generations by grand and enduring ideals.",21,9
"10","George W. Bush","GeorgeWBush",1,"Republican","36911","1592","Yes","inaug","January 20, 2001","http://www.presidency.ucsb.edu/ws/index.php?pid=25853","The grandest of these ideals is an unfolding American promise that everyone belongs, that everyone deserves a chance, that no insignificant person was ever born.",25,10
"11","George W. Bush","GeorgeWBush",1,"Republican","36911","1592","Yes","inaug","January 20, 2001","http://www.presidency.ucsb.edu/ws/index.php?pid=25853","Americans are called to enact this promise in our lives and in our laws.",14,11
"12","George W. Bush","GeorgeWBush",1,"Republican","36911","1592","Yes","inaug","January 20, 2001","http://www.presidency.ucsb.edu/ws/index.php?pid=25853","And though our Nation has sometimes halted and sometimes delayed, we must follow no other course.",16,12
"13","George W. Bush","GeorgeWBush",1,"Republican","36911","1592","Yes","inaug","January 20, 2001","http://www.presidency.ucsb.edu/ws/index.php?pid=25853","Through much of the last century, America's faith in freedom and democracy was a rock in a raging sea.",19,13
"14","George W. Bush","GeorgeWBush",1,"Republican","36911","1592","Yes","inaug","January 20, 2001","http://www.presidency.ucsb.edu/ws/index.php?pid=25853","Now it is a seed upon the wind, taking root in many nations.",13,14
"15","George W. Bush","GeorgeWBush",1,"Republican","36911","1592","Yes","inaug","January 20, 2001","http://www.presidency.ucsb.edu/ws/index.php?pid=25853","Our democratic faith is more than the creed of our country.",11,15
"16","George W. Bush","GeorgeWBush",1,"Republican","36911","1592","Yes","inaug","January 20, 2001","http://www.presidency.ucsb.edu/ws/index.php?pid=25853","It is the inborn hope of our humanity, an ideal we carry but do not own, a trust we bear and pass along.",23,16
"17","George W. Bush","GeorgeWBush",1,"Republican","36911","1592","Yes","inaug","January 20, 2001","http://www.presidency.ucsb.edu/ws/index.php?pid=25853","Even after nearly 225 years, we have a long way yet to travel.",12,17
"18","George W. Bush","GeorgeWBush",1,"Republican","36911","1592","Yes","inaug","January 20, 2001","http://www.presidency.ucsb.edu/ws/index.php?pid=25853","While many of our citizens prosper, others doubt the promise, even the justice of our own country.",17,18
"19","George W. Bush","GeorgeWBush",1,"Republican","36911","1592","Yes","inaug","January 20, 2001","http://www.presidency.ucsb.edu/ws/index.php?pid=25853","The ambitions of some Americans are limited by failing schools and hidden prejudice and the circumstances of their birth.",19,19
"20","George W. Bush","GeorgeWBush",1,"Republican","36911","1592","Yes","inaug","January 20, 2001","http://www.presidency.ucsb.edu/ws/index.php?pid=25853","And sometimes our differences run so deep, it seems we share a continent but not a country.",17,20
"21","George W. Bush","GeorgeWBush",1,"Republican","36911","1592","Yes","inaug","January 20, 2001","http://www.presidency.ucsb.edu/ws/index.php?pid=25853","We do not accept this, and we will not allow it.",11,21
"22","George W. Bush","GeorgeWBush",1,"Republican","36911","1592","Yes","inaug","January 20, 2001","http://www.presidency.ucsb.edu/ws/index.php?pid=25853","Our unity, our Union, is a serious work of leaders and citizens and every generation.",15,22
"23","George W. Bush","GeorgeWBush",1,"Republican","36911","1592","Yes","inaug","January 20, 2001","http://www.presidency.ucsb.edu/ws/index.php?pid=25853","And this is my solemn pledge: I will work to build a single nation of justice and opportunity.",18,23
"24","George W. Bush","GeorgeWBush",1,"Republican","36911","1592","Yes","inaug","January 20, 2001","http://www.presidency.ucsb.edu/ws/index.php?pid=25853","I know this is in our reach because we are guided by a power larger than ourselves, who creates us equal, in His image, and we are confident in principles that unite and lead us onward.",36,24
